video_id,category_id,categories,views,comments_disabled,ratings_disabled
kzwfHumJyYc,1,Film & Animation,1096327,False,False
zUZ1z7FwLc8,25,News & Politics,590101,True,False
10L1hZ9qa58,24,Entertainment,473988,False,False
N1vE8iiEg64,23,Comedy,1242680,False,False
kJzGH0PVQHQ,24,Entertainment,464015,False,False
il_pSa5l98w,24,Entertainment,6106669,False,False
7MxiQ4v0EnE,10,Music,5718766,False,False
c64I9HNpiOY,10,Music,10588371,False,False
KObFEYCaRx8,24,Entertainment,118223,False,False
g8QsfJhFpjY,24,Entertainment,969030,False,False
4du1KXBl4YU,24,Entertainment,632747,False,False
zOOmEDwPJX0,10,Music,2348107,False,False
Prb_osSVE0M,25,News & Politics,156085,True,False
KHxdrECEsD0,24,Entertainment,472413,False,False
so0ccfs-psI,10,Music,836006,False,False
7gShaSuK_PY,22,People & Blogs,89531,False,False
ep3SLMuRbvg,23,Comedy,344545,False,False
ePO5M5DE01I,1,Film & Animation,35885754,False,False
CLl1RbxDRAs,23,Comedy,209599,False,False
1ZAPwfrtAFY,24,Entertainment,2418783,False,False
ZIHhuwvT7R0,24,Entertainment,2294242,False,False
Mqfh8_Uk1eM,22,People & Blogs,1956925,False,False
1kuJkA9usqg,24,Entertainment,387221,False,False
0SMKG3SRGzQ,19,Travel & Events,176472,False,False
znOC3IU0dF8,24,Entertainment,55178,False,False
z3V9LUA6VQM,24,Entertainment,236710,False,False
bx-QX2ZPH60,28,Science & Technology,238637,False,False
tFM-GNSeXzw,25,News & Politics,85432,False,False
MF9ovM9y0PE,1,Film & Animation,249423,False,False
EJVvdjDGnak,24,Entertainment,256199,False,False
Ukjn7A9L7vY,27,Education,137438,False,False
gW4Su5wq0b8,24,Entertainment,261202,False,False
vMLs3kIuhzA,24,Entertainment,655660,False,False
P-pycrmifwU,24,Entertainment,423009,False,False
jElRtesCnlA,25,News & Politics,33533,False,True
q3eBCWAwVpo,25,News & Politics,75834,False,False
qP67alYxSiU,26,Howto & Style,128851,True,True
1OTwWFJY_0I,24,Entertainment,156063,False,False
01TgqDvqcyk,10,Music,1287771,False,False
pbFr2Vb5hK0,10,Music,56430,False,False
JSkOecmAFFo,24,Entertainment,793778,False,False
Yvp9jUJtMuY,23,Comedy,309490,False,False
7yTWI873yfg,24,Entertainment,334780,False,False
q0-SCcsuSSs,25,News & Politics,23932,False,True
l3fRny54z4U,24,Entertainment,54861,False,False
WXN8BzAsi3A,24,Entertainment,1174353,False,False
E_e3nSdBiqE,24,Entertainment,127517,False,False
yPOnlqGGGGU,24,Entertainment,255707,False,False
MXH7yFFl3fE,22,People & Blogs,97522,False,False
UTVFNrRwL1o,24,Entertainment,692359,False,False
hDUel4MX-Fw,27,Education,47352,False,False
K6JyjjNnTlg,25,News & Politics,114466,False,False
TuOBfQRXwhQ,22,People & Blogs,109594,False,False
y6YY8-k9Cwg,27,Education,103239,False,False
1WTtrHW7uw8,24,Entertainment,150806,False,False
w5qMOyPuUqU,24,Entertainment,170707,False,False
4tEqzEo5uKY,26,Howto & Style,77888,False,False
3d7NjfTziNM,23,Comedy,779856,False,False
8vBjlhp73hU,24,Entertainment,154502,False,False
WPuhu6dYyQY,43,Shows,433053,False,False
XjF2n3NaoSk,22,People & Blogs,1025941,False,False
ozZ8HpIBsGw,10,Music,1449239,False,False
RWTutjJA1I4,25,News & Politics,93662,False,False
xjFKfAudCOo,1,Film & Animation,696515,False,False
Mwn4zdD51Kc,26,Howto & Style,74888,False,False
U3xLOo-CNwo,26,Howto & Style,3153224,False,False
AHWTbKVpukU,23,Comedy,162637,False,False
gWZwfjfgwGs,10,Music,544102,False,False
Ny_-eMpu95Q,25,News & Politics,52312,False,False
KskjXRkmJW4,24,Entertainment,90826,False,False
7BUEKSFwk7Q,27,Education,23114,True,True
EU-y4Y7khJU,25,News & Politics,357019,False,False
pw3iSkTRJWw,24,Entertainment,117022,False,False
NTiSvK7c810,25,News & Politics,32811,False,False
g7BHnHzwOVo,24,Entertainment,263844,False,False
tA-cUlv-3Z8,25,News & Politics,202926,False,False
SVc0gV3pWC0,22,People & Blogs,1353040,False,False
PVyuSPi0brM,26,Howto & Style,24700,False,False
sOwXjFMy17Y,22,People & Blogs,55523,False,False
r0wnuv1X1Z0,25,News & Politics,24276,False,False
WZIsINLpDcA,24,Entertainment,58675,False,False
KPSK2qOPvuU,26,Howto & Style,73579,False,False
XU6iH5LHwDw,22,People & Blogs,65054,True,False
4f20l8mdBh0,24,Entertainment,132421,False,False
Jwa0Qh1muyA,24,Entertainment,58019,True,False
SDG5U00mS_U,27,Education,12790,False,False
5zHIyadCwwE,28,Science & Technology,153384,False,False
Uf_rqW2yTgs,24,Entertainment,75843,False,False
tzlF8oZd2BU,1,Film & Animation,269593,False,False
3QsBs8JM3sM,24,Entertainment,868921,False,False
2Vv-BfVoq4g,10,Music,33523622,False,False
hJ6nM40tuKQ,24,Entertainment,209606,False,False
3BF-iAMjciE,25,News & Politics,37616,False,False
_Qh5u5U9h80,24,Entertainment,482839,False,False
6I2yAoxBRtI,1,Film & Animation,181117,False,False
u84lPMD6UaE,24,Entertainment,146859,False,False
qgasli1u-Ag,23,Comedy,108414,False,False
UtqE056lqas,24,Entertainment,78447,False,False
ZJaR1RPrvkA,24,Entertainment,218178,False,False
7HTw1Jz5lcQ,1,Film & Animation,103665,False,False
d380meD0W0M,24,Entertainment,2095731,False,False
NgEgYjvh6rE,23,Comedy,1014724,False,False
yqV4godQ7Xk,24,Entertainment,277050,False,False
Svdb9YT86vc,24,Entertainment,109580,False,False
_bNrVP6CCfs,24,Entertainment,308394,False,False
h6Z9mmSNJcw,26,Howto & Style,298998,True,False
FBzjw0yPup0,23,Comedy,748248,False,False
A_XgvSkbCvM,24,Entertainment,17006,False,False
uzcHSrzwp9I,24,Entertainment,377572,False,False
B6IxqP9z9XE,24,Entertainment,134307,False,False
BwIw80nybkU,24,Entertainment,277839,False,False
7RGnOALpYCk,24,Entertainment,85165,False,False
Rhq6uJkoy_o,27,Education,69426,True,False
PBuCqgA7u5w,24,Entertainment,2664065,False,False
xnvlaasnhHg,24,Entertainment,16825,False,False
JsZ2yyIXOSE,25,News & Politics,84097,False,False
1wqsTGkFHoE,22,People & Blogs,367797,True,False
_fJSu5naKX4,24,Entertainment,315154,False,False
3FxCSn3d1f4,24,Entertainment,26675,False,False
0Gf19Rue4zA,24,Entertainment,185537,False,False
cRxYTelqWOg,25,News & Politics,66463,False,False
puBq9Z5TpEw,22,People & Blogs,36092,False,False
BhZx-ZEz0_Y,24,Entertainment,35431,False,False
deKWUn7r-_8,25,News & Politics,59708,False,False
bDDZLQw8Wb4,24,Entertainment,182209,False,False
AL1RsbakLx4,24,Entertainment,249737,False,False
NhyolxnS-Qs,24,Entertainment,204351,False,False
zWAjEtFkMgY,22,People & Blogs,37384,False,False
fRY7UWGFvdc,22,People & Blogs,197122,False,True
Dxg-ELOg-L4,24,Entertainment,94383,False,False
D1z2sKcSsfY,23,Comedy,353789,False,False
m5HsZ4lYtv4,22,People & Blogs,121361,False,False
a8hFBXnqo0k,25,News & Politics,50220,False,False
XVPpvn9vQDU,24,Entertainment,96306,False,False
#NAME?,24,Entertainment,31052,False,False
efpUCPITNmw,17,Sports,1641745,False,False
NX23eK3ud10,25,News & Politics,42032,False,False
JFe_OFPYKQY,25,News & Politics,71272,False,False
oGoABVPTDQA,24,Entertainment,90034,False,False
qEf_2YN1XaA,24,Entertainment,25844,False,False
xzEbOteUiRY,29,,51575,True,True
uLLYbYpV1z4,23,Comedy,71786,False,False
jvcBAsE72Lc,24,Entertainment,7125,False,False
ul6tkHoVFg0,24,Entertainment,158126,False,False
HilwZ2E5PX8,25,News & Politics,31421,False,False
V4olAUYK6aE,27,Education,14018,False,False
Yx6FaFVw9NY,22,People & Blogs,15107,False,False
reoTUboruJ0,24,Entertainment,20463,False,False
xNfzGWB34b4,24,Entertainment,23082,False,False
t_vpgs7aDco,24,Entertainment,19567,False,False
rx5dx6HxBgg,24,Entertainment,34206,False,False
82Xuew50Dh4,24,Entertainment,55908,False,False
t7I8EBOTx8Y,10,Music,37786,False,False
-90fWzjVM7w,28,Science & Technology,64656,False,False
v3nuxG2Q6Ew,24,Entertainment,662980,False,False
WYV4afdFEvs,26,Howto & Style,98212,False,False
ziOwvxFoLw0,25,News & Politics,92089,False,False
JBFmDaNsofY,24,Entertainment,63293,False,False
ifqJNMRupEU,22,People & Blogs,7573,False,False
NgsoF5QeG4c,25,News & Politics,22933,False,False
CgbZnZrE9OM,23,Comedy,70810,False,False
cA3fSbbeLqI,25,News & Politics,69459,False,False
DWC2o_h5wP0,22,People & Blogs,82449,False,False
SF-ObMCb-Ac,24,Entertainment,58815,False,False
F9Fd3AUaOC4,23,Comedy,68808,False,False
s6pM3FlBcAw,27,Education,103975,False,False
t-3rtU-91OU,25,News & Politics,64197,False,False
-7dTzc8kTOY,22,People & Blogs,2820328,False,False
g7SdBlW1Zj8,25,News & Politics,47328,False,False
HroHi1lUg6M,22,People & Blogs,40355,False,False
13zgNDLHfyk,25,News & Politics,85832,False,False
GuO4gJs9BFs,24,Entertainment,279282,False,False
NDuOXWe4KW8,2,Autos & Vehicles,62151,False,False
#NAME?,25,News & Politics,30659,False,False
kwGrQZUXBus,23,Comedy,81117,False,False
JtSoHMVvKG8,24,Entertainment,72644,True,False
Lww6RzTwTpE,24,Entertainment,81305,False,False
pBmmYgmN2IM,28,Science & Technology,308383,False,False
Sdar8GHtD0k,10,Music,1205088,False,False
1r4NI9_rC8A,1,Film & Animation,194888,False,False
ntBIQF7TOW4,10,Music,204389,False,False
2nTvmoZNr9E,24,Entertainment,177563,False,False
7z90pkNWBlw,25,News & Politics,50914,False,False
7zCrBCsRcDc,24,Entertainment,141759,False,False
LwVz-MSPCcA,25,News & Politics,60541,False,False
pzRaJ63e-fg,24,Entertainment,68992,False,False
9qMbaOzubCc,25,News & Politics,66231,False,False
LY-RHT8xF5I,22,People & Blogs,206015,False,False
UZZJT2dN1QM,24,Entertainment,376679,False,False
#NAME?,26,Howto & Style,743321,False,False
iTdm-HsOdNs,10,Music,12408,False,False
rOR5PJgR0DQ,23,Comedy,100662,False,False
4TStX6b0uJ0,10,Music,42923,False,False
QYNymjtl_QE,22,People & Blogs,20086,False,False
DckjtlTRxxw,1,Film & Animation,14480,False,False
cVYWO4aOhis,22,People & Blogs,23421,False,False
3JZDGo55roI,24,Entertainment,1385906,False,False
4q8gvlRQh84,24,Entertainment,54848,False,False
OZU2E50G4KI,29,,17726,False,False
zH2QWFmKqpQ,24,Entertainment,40576,False,False
LWkkT7y0sa4,24,Entertainment,881751,False,False
aumXGJnd_hU,23,Comedy,567803,False,False
kzwfHumJyYc,1,Film & Animation,1651358,False,False
zUZ1z7FwLc8,25,News & Politics,1680175,True,False
kJzGH0PVQHQ,24,Entertainment,857223,False,False
xHu2OBXVOY8,24,Entertainment,500547,False,False
KObFEYCaRx8,24,Entertainment,343346,False,False
j5Wc2tk1E_c,22,People & Blogs,325990,False,False
10L1hZ9qa58,24,Entertainment,680789,False,False
rdnSMooiSfY,25,News & Politics,229544,True,False
P-pycrmifwU,24,Entertainment,988211,False,False
7MxiQ4v0EnE,10,Music,7003332,False,False
Ulz2Pg-aLkY,22,People & Blogs,661348,False,False
nLFX8rBUNdk,28,Science & Technology,719257,False,False
N1vE8iiEg64,23,Comedy,1549965,False,False
LLF_PS4r6Ik,24,Entertainment,658053,False,False
AlrbKKGIcjI,43,Shows,591632,False,False
mrWLYHVmUhA,22,People & Blogs,692610,False,False
NXcGCGGtJI0,22,People & Blogs,327020,False,False
f2GeSskSsy8,25,News & Politics,311713,False,False
pbFr2Vb5hK0,10,Music,210973,False,False
c64I9HNpiOY,10,Music,11805080,False,False
SaT0lLpb0RQ,24,Entertainment,69392,False,False
4du1KXBl4YU,24,Entertainment,910846,False,False
YoXH6cZYI_s,10,Music,579980,False,False
y8uB4JpFSBY,25,News & Politics,332705,True,False
ep3SLMuRbvg,23,Comedy,645886,False,False
zOOmEDwPJX0,10,Music,2995455,False,False
g8QsfJhFpjY,24,Entertainment,1110169,False,False
cpkxJ1y_0V4,25,News & Politics,126781,False,False
EJVvdjDGnak,24,Entertainment,566770,False,False
V2VquEl3zzE,24,Entertainment,237512,False,False
wvHYHVq9xio,27,Education,133254,False,False
il_pSa5l98w,24,Entertainment,6526627,False,False
7gShaSuK_PY,22,People & Blogs,223867,False,False
9e-90Sz_iN0,24,Entertainment,297211,False,False
a8G-vVFKm4M,24,Entertainment,303877,False,False
zFrllD9D9HM,24,Entertainment,53290,False,False
Fvg3EkAp15E,23,Comedy,123911,False,False
CLl1RbxDRAs,23,Comedy,300913,False,False
K6JyjjNnTlg,25,News & Politics,267990,False,False
bHX-8h6OKi8,10,Music,160856,False,False
ZIHhuwvT7R0,24,Entertainment,3031998,False,False
KHxdrECEsD0,24,Entertainment,662199,False,False
Ik9JXtQDqmU,2,Autos & Vehicles,231016,False,False
q0-SCcsuSSs,25,News & Politics,84171,False,True
PVyuSPi0brM,26,Howto & Style,142890,False,False
1ZAPwfrtAFY,24,Entertainment,4632016,False,False
YbWw3kVdsPs,24,Entertainment,184479,False,False
ysik6z44B1E,17,Sports,1574756,False,False
g7BHnHzwOVo,24,Entertainment,513503,False,False
bx-QX2ZPH60,28,Science & Technology,397157,False,False
MfB_zSC70J0,24,Entertainment,61702,False,False
hJ6nM40tuKQ,24,Entertainment,325334,False,False
vkr74kiEPM4,23,Comedy,129570,False,False
bFcHu8jCBRw,24,Entertainment,83576,False,False
g6ydk-TTdYM,24,Entertainment,277287,False,False
gUlzhZ1ETXg,23,Comedy,298473,False,False
V8b805Xk6KU,23,Comedy,30969,False,False
mhV_vlCc2y8,24,Entertainment,49903,False,False
iNQiWRdqYb0,24,Entertainment,182089,False,False
7U1LJYwTzQM,25,News & Politics,217750,False,False
ePO5M5DE01I,1,Film & Animation,37533416,False,False
2nn-UJIqTNA,24,Entertainment,50323,False,False
uCU5Bc2Q6pc,24,Entertainment,109639,False,False
so0ccfs-psI,10,Music,911853,False,False
KmTGHO9if3o,24,Entertainment,266941,False,False
Dp1Vb81ifb0,27,Education,55663,False,False
y5TM_K-ldDs,24,Entertainment,114529,False,False
TQypXve0Ork,24,Entertainment,259440,False,False
yPOnlqGGGGU,24,Entertainment,382852,False,False
Ukjn7A9L7vY,27,Education,150609,False,False
SYtxYDSUF90,24,Entertainment,353787,False,False
TFneepFU0Dc,24,Entertainment,83168,False,False
2kyS6SvSYSE,22,People & Blogs,2188675,False,False
MF9ovM9y0PE,1,Film & Animation,300412,False,False
VwBb77AZOxI,24,Entertainment,254300,False,False
GL1hj67Er8c,23,Comedy,219445,False,False
