CategoriesID,Categories,Views,Likes,Dislikes,Comments
1,Film & Animation,3847149504,69241553,4315081,5789446
25,News & Politics,1994263812,15545971,2737604,2954198
24,Entertainment,16120390974,396146637,27428929,42199473
23,Comedy,2887672070,174114686,6976508,13806968
10,Music,10150844485,254328536,15030992,17595070
22,People & Blogs,1364104242,23194729,1728388,2661920
19,Travel & Events,1374342,16939,616,2448
28,Science & Technology,477111016,21395585,913603,9664392
27,Education,145533791,7471726,246667,943667
26,Howto & Style,737343593,7889210,859807,748899
43,Shows,139581891,787516,226268,104880
17,Sports,1379949159,32969986,1316379,2717679
29,Autos & Vehicles,30384725,539571,22284,86488
2,Pets & Animals,4879743,362534,6488,42056
15,Gaming,274722506,6707728,341616,623839
20,Movies,49040020,662651,34182,36941
